city,district,neighborhood,room,living_room,area,age,floor,price
izmir,dikili,cumhuriyet,2,1,80,3,2,23000
izmir,balcova,teleferik,2,1,120,25,3,15500
izmir,cesme,cumhuriyet,1,1,70,4,3,20000
izmir,cesme,ismet_inonu,2,1,70,3,0,25000
izmir,urla,kalabak,3,1,170,26,2,35000
izmir,buca,kozagac,2,1,97,10,1,22000
izmir,urla,zeytinalani,3,1,110,20,0,25000
izmir,cigli,balatcik,1,1,65,4,3,18500
izmir,torbali,fevzi_cakmak,2,1,100,8,3,13500
izmir,karsiyaka,ornekkoy,2,1,120,10,2,37000
izmir,bornova,kazimdirik,1,1,60,0,0,25000
izmir,aliaga,yenisakran,3,1,120,0,2,20000
izmir,konak,alsancak,3,1,130,31,4,20000
izmir,konak,kultur,3,1,125,31,5,52000
izmir,cigli,egekent,3,1,110,30,3,18000
izmir,cigli,balatcik,1,1,50,0,3,16000
izmir,karsiyaka,inonu,1,1,53,11,6,20000
izmir,bayrakli,manavkuyu,3,1,135,9,3,25000
izmir,selcuk,14_mayis,1,1,45,10,0,13000
izmir,bayrakli,alpaslan,2,1,100,5,4,17000
izmir,bayrakli,bayrakli,3,1,130,25,4,17000
izmir,konak,mimar_sinan,3,1,135,26,5,25000
izmir,odemis,ataturk,3,1,180,12,3,18000
izmir,cigli,atasehir,3,1,150,8,5,30000
izmir,karabaglar,bahar,2,1,120,40,2,12000
izmir,karabaglar,esentepe,3,1,125,25,5,25000
izmir,buca,yaylacik,2,1,75,0,3,22000
izmir,gaziemir,gazi,3,1,135,15,3,27000
izmir,karsiyaka,bahcelievler,3,1,115,34,5,20000
izmir,buca,yildiz,1,1,55,4,0,12500
izmir,cesme,reisdere,2,1,100,10,2,47500
izmir,karsiyaka,zubeyde_hanim,2,1,100,27,4,14000
izmir,karsiyaka,zubeyde_hanim,3,1,150,3,6,35000
izmir,seferihisar,sigacik,2,1,75,2,2,22000
izmir,bayrakli,fuat_edip_baksi,3,1,110,34,3,21000
izmir,urla,gulbahce,1,1,45,0,0,19000
izmir,balcova,onur,3,1,150,20,3,23000
izmir,bornova,evka_4,2,1,66,26,5,14000
izmir,bornova,kazimdirik,1,1,50,9,3,16250
izmir,seferihisar,colak_ibrahim_bey,1,1,145,0,3,21900
izmir,karabaglar,uckuyular,3,1,150,32,1,25000
izmir,seferihisar,ataturk,3,1,165,24,2,25000
izmir,karsiyaka,ornekkoy,2,1,95,5,3,23000
izmir,buca,ataturk,1,1,45,5,3,12000
izmir,bayrakli,osmangazi,2,1,116,19,2,16500
izmir,karabaglar,bahcelievler,3,1,160,18,4,25000
izmir,balcova,cetin_emec,3,1,130,24,3,25000
izmir,karabaglar,sehitler,3,1,120,35,2,18000
izmir,karabaglar,basin_sitesi,2,1,90,1,1,30000
izmir,foca,kazim_dirik,2,1,80,5,2,18000
izmir,buca,yesilbaglar,3,1,185,20,3,20000
izmir,karabaglar,baris,3,1,125,18,6,17000
izmir,torbali,pancar,2,1,100,0,3,14000
izmir,menemen,kasimpasa,2,1,105,5,5,16000
izmir,bornova,naldoken,2,1,110,12,2,18000
izmir,cigli,kucuk_cigli,1,1,60,0,1,18500
izmir,karabaglar,muammer_akar,3,1,125,35,3,28000
izmir,karsiyaka,nergiz,3,1,130,0,4,45000
izmir,konak,kahramanlar,2,1,85,20,2,18000
izmir,bornova,erzene,3,1,115,30,3,21000
izmir,gaziemir,irmak,2,1,105,8,1,19000
izmir,konak,kilic_reis,2,1,80,35,3,20000
izmir,odemis,cumhuriyet,1,1,80,7,5,8000
izmir,konak,mimar_sinan,2,1,90,34,3,30000
izmir,narlidere,sahilevleri,2,1,100,15,1,25000
izmir,selcuk,ataturk,3,1,145,20,3,22000
izmir,bornova,inonu,1,1,70,20,0,13000
izmir,cigli,balatcik,2,1,80,4,3,20000
izmir,konak,kultur,2,1,100,30,4,26000
izmir,cigli,balatcik,1,1,70,6,5,22000
izmir,karabaglar,poligon,2,1,90,30,1,17500
izmir,bornova,ergene,1,1,40,8,2,20000
izmir,karsiyaka,latife_hanim,2,1,100,13,1,15000
izmir,torbali,pancar,2,1,110,0,1,14000
izmir,karabaglar,refet_bele,3,1,144,28,4,18000
izmir,foca,ismetpasa,3,1,95,25,5,30000
izmir,buca,inkilap,2,1,75,6,3,20000
izmir,buca,yigitler,2,1,95,25,2,20000
izmir,buca,firat,3,1,130,15,3,20000
izmir,bornova,evka_3,2,1,85,18,2,12500
izmir,guzelbahce,celebi,3,1,165,25,2,37500
izmir,karabaglar,muammer_akar,1,1,70,4,4,25000
